"review_text","rating","date"
"I cannot send to cbebirr app. through this app.","3","2025-06-05"
"good","4","2025-06-05"
"not functional","1","2025-06-04"
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).","1","2025-06-04"
"አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል","4","2025-06-04"
"best","5","2025-06-04"
"bezabih","5","2025-06-04"
"Best Mobile Banking app ever","5","2025-06-04"
"good","5","2025-06-04"
"it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring","2","2025-06-04"
"dedeb","5","2025-06-04"
"Good","5","2025-06-04"
"👌👍","5","2025-06-04"
"very niec","5","2025-06-04"
"best app of finance","5","2025-06-03"
"yetemeta","1","2025-06-03"
"Engida Kebede Fetera","5","2025-06-03"
"good","5","2025-06-03"
"it is not safety","1","2025-06-02"
"NICE bank","5","2025-06-02"
"it is like a childish app make it better the worst I have ever seen","1","2025-06-02"
"It's a problem solver application, go ahead CBE, I love so much.","5","2025-06-02"
"It's good but try to make it facilitate for your client","4","2025-06-01"
"best app","5","2025-06-01"
"Awesome bank","5","2025-06-01"
"this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.","5","2025-05-31"
"Masha alla","5","2025-05-31"
"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again","2","2025-05-31"
"better service","5","2025-05-30"
"it,s good app and time manager 👍","5","2025-05-30"
"malkaamuu Jiidhaa Namoo","5","2025-05-30"
"lower system everything","3","2025-05-30"
"Nice!","5","2025-05-30"
"Keep it up My CBE","5","2025-05-28"
"yes good","5","2025-05-28"
"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""","4","2025-05-27"
"i like everything of this app","5","2025-05-27"
"good","5","2025-05-27"
"🤬🤬🤬🤬 network 🛜","1","2025-05-26"
"Best","5","2025-05-26"
"CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.","5","2025-05-26"
"nice","5","2025-05-26"
"good job","5","2025-05-26"
"Good","5","2025-05-25"
"it's awesome!!","5","2025-05-25"
"best","5","2025-05-25"
"thankyou every one","5","2025-05-25"
"best app","5","2025-05-25"
"Ronaldo 🇵🇹 🥇","5","2025-05-25"
"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .","5","2025-05-25"
"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.","2","2025-05-25"
"mortuary app","5","2025-05-24"
"it is smart app but it has stoped after some period of time on my device with out any reason .","5","2025-05-24"
"amazing app I am used this app for one year","4","2025-05-24"
"👍","5","2025-05-24"
"good app","5","2025-05-24"
"i love it 😍😘","5","2025-05-24"
"It makes life easy!👌","5","2025-05-24"
"its not fast","1","2025-05-24"
"wow","4","2025-05-23"
"it is sooo good","5","2025-05-23"
"excellent","5","2025-05-23"
"ok","1","2025-05-23"
"Fantastic","5","2025-05-23"
"accessible to using","5","2025-05-23"
"I like it","4","2025-05-23"
"good","5","2025-05-23"
"why you change default network?","5","2025-05-23"
"very nice 👍","5","2025-05-23"
"nice fast app","5","2025-05-23"
"best","5","2025-05-22"
"how to I get my money","5","2025-05-22"
"Very bad, can't even load they need to improve their services.","1","2025-05-22"
"Very good app, but please make it reliable . it crashes sometimes .","4","2025-05-22"
"very busy I don't know why... I prefer 889","3","2025-05-22"
"Sometimes it has a nasty lag for several hour fix that , the rest is 👌","4","2025-05-22"
"the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps","1","2025-05-22"
"hojii bonsaadha","5","2025-05-22"
"ok","5","2025-05-22"
"user-friendly apps.because this app is easy.","5","2025-05-22"
"Awosome!!!","5","2025-05-22"
"Very good app,","5","2025-05-22"
"sync problem may 22 2025 but the date stack on may 8 2025 help pls","5","2025-05-22"
"ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice","5","2025-05-22"
"I hate this app 😒","1","2025-05-22"
"trustful","5","2025-05-22"
"I like","5","2025-05-21"
"update issue","4","2025-05-21"
"its not working over safari network","1","2025-05-21"
"oldie","1","2025-05-21"
"it doesn't work","1","2025-05-21"
"best","5","2025-05-21"
"This app is good, and we are using it well","1","2025-05-21"
"ok","5","2025-05-21"
"best app","5","2025-05-21"
"very nice 👌 app for android phone","5","2025-05-21"
"good app","5","2025-05-21"
"Yes Yes","5","2025-05-21"
"በጣም ከርፋፋ","1","2025-05-21"
"easy to use helpful in my life","5","2025-05-21"
"good 👍","4","2025-05-21"
"the best mobile banking app","5","2025-05-21"
"this app is very useful app,it saves time,and it is secure","4","2025-05-21"
"ok","2","2025-05-21"
"it's a good application 👍","5","2025-05-21"
"the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !","2","2025-05-20"
"poor service","1","2025-05-20"
"amazing","5","2025-05-20"
"it is reliable and easy to use.","5","2025-05-20"
"the most annoying mobile banking app I've ever seen","1","2025-05-20"
"Eliasmels","5","2025-05-20"
